"Município";"2007/Jan";"2007/Abr";"2007/Mai";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110026 Rio Crespo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"110028 Rolim de Moura";-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;2;1;-;1;2;3;7;8;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;5;1;2;3;5;5;1;-;5;6;5;3;1;8;7;3;3;-;-;-;-;1;-;6;1;-;4;3;1;3;11;10;4;1;1;-;2;7;-;-;-;-;1;5;4;6;2;5;3;6;4;2;3;4;4;2;1;2;1;1;-;2;-;1;-;-;1;2;-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;2;1;3;-;1;1;-;4;2;-;-;-;-;-;234
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;-;-;3;10;-;-;-;3;13;10;16;20;12;17;20;13;24;11;14;15;15;5;6;6;14;13;3;14;8;7;4;-;-;-;-;-;-;4;16;9;14;7;3;4;7;11;9;15;11;7;5;5;7;4;4;5;1;-;4;4;9;12;8;1;7;7;3;5;3;5;2;2;3;8;8;1;3;5;-;-;8;3;4;3;7;3;1;4;4;6;5;1;2;1;1;1;7;2;2;6;2;3;-;2;1;1;-;1;1;1;-;2;1;1;-;2;-;-;2;2;1;-;-;-;2;-;4;2;4;4;7;16;4;-;-;-;2;3;2;8;-;-;-;3;1;-;-;-;3;2;-;-;705
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"110149 São Francisco do Guaporé";-;-;-;-;-;-;-;-;1;10;11;-;-;-;8;27;68;35;59;51;22;3;18;16;7;5;3;8;7;12;12;6;-;1;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;2;2;-;-;1;-;-;-;-;1;-;-;1;-;4;-;-;-;1;1;-;-;-;1;-;418
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;-;-;1;12;6;-;-;-;1;-;1;-;2;-;-;2;1;1;1;-;-;1;1;-;-;-;2;-;-;1;2;-;-;1;1;1;2;1;-;-;-;-;1;-;-;-;-;-;-;2;-;1;-;1;-;1;-;-;-;-;2;1;1;-;-;-;2;-;-;-;2;-;1;1;-;-;-;1;-;1;1;-;-;-;2;-;2;1;2;-;2;1;2;2;1;-;-;-;2;2;-;1;-;1;1;-;-;-;-;-;-;-;1;1;1;1;-;1;-;1;3;1;-;2;1;-;1;-;1;1;-;-;1;-;-;6;1;-;-;3;-;1;-;-;1;-;1;-;-;-;-;-;112
"110150 Seringueiras";-;-;-;-;-;-;-;-;3;9;7;-;-;-;1;17;16;14;21;24;22;22;-;5;7;1;3;7;11;13;7;3;12;4;6;5;10;9;25;5;10;4;3;3;3;5;3;3;2;3;6;1;3;6;4;7;16;4;8;6;6;2;4;8;3;4;1;-;1;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;3;-;-;1;-;-;2;-;3;2;5;-;-;-;-;1;-;1;1;-;-;-;-;-;4;6;-;1;-;2;2;1;-;-;3;-;2;-;1;1;-;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;473
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;14
"110160 Theobroma";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;1;-;-;-;-;-;-;1;1;-;-;1;-;2;-;3;-;2;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;32
"110170 Urupá";-;-;-;-;-;-;-;-;-;3;6;1;-;-;-;-;-;1;1;2;1;-;4;2;-;-;-;1;1;-;-;1;4;3;5;8;5;2;5;5;2;2;3;1;11;13;7;7;4;1;-;2;3;1;1;4;1;3;1;3;-;-;-;-;-;2;-;1;-;4;2;1;1;-;-;-;-;-;1;-;1;-;-;1;-;1;-;-;2;4;-;3;5;-;-;6;4;4;3;4;2;3;1;2;2;2;2;1;2;2;-;-;3;-;7;1;2;1;-;1;-;1;3;2;-;-;4;-;3;1;-;-;1;1;-;-;-;1;2;1;1;1;-;2;1;-;-;2;2;1;1;-;1;1;1;-;-;-;-;249
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"110180 Vale do Paraíso";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"110030 Vilhena";-;-;-;-;-;-;-;-;-;1;3;2;1;-;3;1;-;2;1;3;1;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;1;-;1;1;-;-;1;-;1;-;-;-;1;1;-;-;-;-;1;-;-;-;1;1;1;1;-;-;1;-;-;-;50
"120001 Acrelândia";-;-;-;-;-;-;-;-;2;-;-;-;-;3;13;4;34;1;5;5;1;1;-;-;-;1;-;2;-;-;-;-;2;2;-;-;1;1;-;1;1;5;9;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2;4;1;-;-;2;-;2;-;1;-;-;1;1;4;-;1;-;-;-;1;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;130
"120005 Assis Brasil";-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;2;1;-;-;-;-;-;-;-;1;1;-;1;-;-;2;1;-;-;-;-;1;1;2;1;-;-;-;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;36
"120010 Brasiléia";-;-;-;-;-;-;-;-;1;3;2;2;1;-;2;-;1;1;1;6;2;6;1;4;6;5;4;5;-;-;8;3;2;-;1;4;2;2;2;3;4;7;3;5;4;1;3;3;-;-;5;6;9;13;14;4;5;-;1;7;16;5;6;4;13;14;9;1;1;6;3;5;8;5;5;7;4;9;9;4;-;-;2;3;4;7;3;6;10;11;11;6;4;6;5;2;3;2;-;-;-;1;1;3;-;1;-;1;1;4;-;1;1;-;4;-;-;1;-;-;3;1;2;1;1;2;3;-;1;3;2;2;2;3;-;-;1;6;4;2;3;3;4;1;-;1;1;2;1;7;1;1;4;2;1;2;1;-;-;486
"120013 Bujari";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;1;-;1;-;1;1;1;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"120017 Capixaba";-;-;-;-;-;-;-;1;-;-;1;2;1;-;-;1;2;-;2;2;-;-;1;-;1;-;-;2;2;-;1;3;2;1;2;1;-;-;-;-;-;1;1;1;2;-;-;-;1;1;-;-;-;1;4;3;1;1;1;2;1;2;2;1;2;2;1;1;1;-;1;1;-;-;-;2;1;-;2;1;1;-;-;-;-;2;-;2;-;2;-;-;-;1;1;2;1;1;-;-;-;1;1;2;-;1;-;-;1;-;-;-;1;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;3;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;105
"120020 Cruzeiro do Sul";-;-;-;-;-;-;-;1;8;62;57;66;96;54;60;70;66;71;58;54;57;59;51;47;47;62;66;61;41;13;102;94;76;63;88;69;64;73;84;57;95;52;65;58;87;90;73;72;52;64;59;64;66;84;59;74;63;73;72;71;100;73;99;108;132;123;119;88;97;122;82;81;85;76;59;88;87;108;90;78;96;105;96;75;96;63;73;33;-;64;69;32;53;45;52;59;9;8;7;4;7;6;5;5;10;7;3;12;4;6;2;4;7;6;3;1;3;1;1;1;1;-;-;-;4;6;2;2;3;2;1;1;3;-;-;1;5;-;1;1;1;-;-;1;2;1;3;2;2;-;4;2;-;1;2;5;-;-;-;6477
"120025 Epitaciolândia";-;-;-;-;-;-;-;-;-;3;1;2;3;-;-;-;-;2;3;5;2;6;2;1;2;-;3;1;1;-;1;2;6;1;3;3;3;2;1;1;4;3;1;2;2;1;-;1;-;-;-;-;6;5;4;2;2;-;1;2;5;4;2;4;4;12;5;5;1;2;3;2;3;2;1;4;2;3;11;1;2;-;1;-;-;1;1;6;14;6;4;1;3;3;1;1;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;1;-;1;2;1;-;-;7;1;2;2;-;2;1;-;-;1;3;1;1;-;1;8;1;-;2;-;-;1;4;-;1;1;-;1;-;-;3;1;-;-;1;-;272
"120030 Feijó";-;-;-;-;-;-;-;1;5;-;4;4;2;1;-;1;-;2;1;1;-;1;1;-;-;1;-;3;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;2;-;-;-;1;-;-;1;-;1;3;-;-;-;2;2;4;1;2;1;1;5;5;4;5;2;-;-;-;1;-;1;-;1;-;2;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;95
"120032 Jordão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"120033 Mâncio Lima";-;-;-;-;-;-;-;-;-;4;2;5;4;2;3;2;11;9;5;2;1;5;2;2;1;2;6;2;1;-;5;4;6;5;7;6;12;3;4;3;6;1;2;3;5;2;3;10;5;3;5;2;3;2;3;3;6;5;6;10;8;4;3;11;5;5;5;5;2;2;4;4;3;1;3;3;2;2;2;5;2;3;2;1;2;-;2;2;-;-;6;2;1;5;2;3;-;-;2;4;2;2;5;-;2;-;-;1;-;3;1;2;-;3;2;-;1;-;-;-;-;-;4;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;363
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;2;14;15;11;8;9;8;9;37;40;11;8;5;4;8;6;11;10;8;6;15;15;26;32;16;9;10;15;16;17;12;6;15;34;12;46;14;18;4;3;8;23;18;20;19;15;4;18;17;25;4;10;10;5;5;10;-;5;-;-;1;1;-;-;1;1;-;1;1;-;-;1;-;-;-;-;-;1;2;4;5;2;2;4;2;-;-;1;3;1;2;1;5;19;8;10;7;9;5;8;2;1;-;1;-;2;5;-;-;3;1;2;2;4;3;-;-;2;1;1;1;-;-;1;-;1;-;1;1;1;2;-;1;-;1;-;1;1;-;1;3;-;-;-;1;-;1;-;-;-;-;937
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-;-;-;2;5;1;4;1;1;1;1;2;-;-;3;5;-;1;-;2;1;7;2;-;2;-;1;5;1;2;4;2;2;3;2;3;1;-;-;2;3;3;4;2;1;-;1;2;-;2;2;2;3;1;5;2;2;1;1;1;1;2;4;3;1;-;1;1;2;1;1;3;1;-;-;-;3;3;-;3;4;-;-;1;-;-;-;-;-;2;-;-;2;-;-;1;-;-;-;-;1;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;159
"120038 Plácido de Castro";-;-;-;-;-;-;-;-;9;1;8;4;6;4;8;14;8;4;5;11;6;2;2;1;2;3;1;1;-;5;8;3;4;16;7;10;5;3;1;1;2;2;-;6;-;-;1;-;5;2;2;2;2;3;4;1;2;3;3;4;3;4;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;1;2;2;-;1;1;-;1;-;-;-;1;1;2;1;-;-;-;2;5;-;-;-;-;-;-;1;-;-;2;1;2;-;3;4;3;7;9;2;-;-;-;4;-;-;-;-;4;3;1;3;-;-;1;-;-;-;-;2;-;-;-;1;1;-;-;4;-;-;3;4;3;-;-;1;-;3;2;1;-;-;-;312
"120080 Porto Acre";-;-;-;-;-;-;-;1;-;1;1;2;1;3;-;-;-;2;1;-;4;1;1;3;2;-;-;-;-;1;4;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;45
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;4;2;-;-;1;-;-;1;2;4;1;1;2;1;3;2;3;3;2;-;-;1;2;2;1;2;1;-;7;7;2;3;1;4;-;5;2;-;4;2;-;2;-;1;3;5;1;3;3;5;2;4;3;4;3;4;4;1;1;2;1;2;2;1;-;1;2;2;6;2;2;2;1;4;1;3;2;2;-;2;3;2;-;-;2;2;1;-;2;-;4;1;2;3;-;-;1;2;1;-;-;1;-;3;4;1;-;-;3;-;3;2;-;-;2;6;3;2;1;1;4;1;-;-;1;7;3;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;243
"120040 Rio Branco";-;-;-;-;-;-;1;9;25;44;34;29;33;25;30;29;26;24;33;51;60;50;32;38;31;32;14;25;37;19;27;20;13;12;7;9;15;7;7;4;10;8;12;15;12;11;5;17;7;6;8;7;8;17;13;9;15;8;12;5;9;9;7;7;10;4;12;5;4;12;2;3;3;3;2;1;5;2;5;6;2;3;3;2;6;3;2;7;9;4;6;10;4;1;3;4;-;1;2;2;5;1;4;2;3;4;1;4;2;1;3;4;4;2;1;2;3;-;-;2;-;2;2;1;2;3;1;-;1;1;1;-;3;2;3;-;3;1;1;1;2;2;3;1;-;1;2;1;5;2;-;3;2;-;-;-;-;-;-;1342
"120042 Rodrigues Alves";-;-;-;-;-;-;-;-;2;6;8;15;21;10;13;3;4;6;4;3;4;2;5;6;6;4;4;5;13;6;19;15;15;12;8;13;12;3;8;5;6;15;9;3;7;3;12;8;10;5;12;32;12;16;7;14;12;10;17;10;11;5;10;15;13;11;8;13;8;2;8;14;7;8;9;6;8;7;4;9;9;11;7;6;4;4;2;4;1;10;16;6;3;1;7;7;2;7;5;3;-;1;1;2;1;1;1;3;1;2;3;1;1;1;-;-;-;-;1;-;1;1;1;-;-;1;-;1;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;-;804
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;-;1;2;2;1;1;-;-;-;-;1;-;-;-;-;-;-;-;2;1;1;-;-;-;1;1;4;-;5;4;1;-;1;-;-;1;-;3;1;1;-;2;1;1;-;2;2;1;-;3;5;5;1;2;1;1;1;3;1;-;-;-;2;-;-;-;-;1;-;-;2;5;-;1;-;-;-;1;-;-;-;2;3;-;1;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;2;2;3;-;-;1;1;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;-;112
"120050 Sena Madureira";-;-;-;-;-;-;-;4;4;16;14;15;12;12;18;12;35;86;33;17;14;22;21;24;14;19;5;16;17;5;25;46;51;41;29;68;42;27;28;18;31;49;100;75;60;49;39;49;36;27;22;37;27;67;86;88;80;94;54;58;58;37;43;77;94;84;67;68;55;84;48;50;59;41;51;47;29;46;72;77;87;56;55;53;48;36;45;35;26;57;81;41;44;38;56;41;46;39;51;36;16;31;40;39;36;58;59;50;48;37;50;44;61;76;80;56;53;45;37;31;32;34;44;34;43;47;51;36;33;55;36;32;31;52;29;21;25;45;44;56;54;42;31;37;30;25;27;36;19;25;32;14;14;32;22;16;6;4;-;6289
"120045 Senador Guiomard";-;-;-;-;-;-;-;-;1;5;14;8;8;13;3;6;10;14;10;8;1;13;2;13;5;3;6;7;5;1;7;5;6;19;8;7;3;6;3;5;3;7;4;4;5;8;4;5;7;5;3;2;9;2;7;8;9;17;13;18;13;5;3;7;2;8;3;5;6;2;4;-;3;2;1;1;5;7;3;5;3;3;-;4;4;6;2;1;11;10;8;3;1;5;1;2;5;4;1;3;10;7;13;6;10;5;2;9;4;5;1;11;4;11;14;10;10;3;8;6;-;-;3;1;1;1;1;5;1;1;3;3;2;2;-;6;8;4;4;9;5;9;7;3;1;-;4;6;3;6;2;2;5;-;-;-;-;1;-;785
"120060 Tarauacá";-;-;-;-;-;1;-;-;-;4;9;3;9;-;3;2;15;7;11;13;11;4;3;3;5;1;4;1;4;2;3;2;4;-;1;-;-;2;-;-;-;-;4;1;3;2;3;1;-;-;5;2;5;-;2;1;2;-;2;3;-;2;2;3;2;1;4;1;1;-;-;6;1;2;2;2;2;4;4;2;1;3;3;5;2;1;-;-;-;-;-;4;-;1;3;1;-;4;1;1;2;3;5;1;-;1;-;5;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;1;3;4;-;7;7;2;3;-;1;2;2;2;1;-;-;1;-;-;2;2;1;1;-;1;1;-;-;302
"120070 Xapuri";-;-;-;-;-;-;-;-;-;8;7;14;9;6;8;18;16;15;14;18;11;9;8;2;5;1;4;2;9;2;16;6;7;13;2;1;8;5;5;5;14;13;12;12;3;12;18;11;8;1;8;8;12;11;2;6;6;12;5;3;7;9;9;14;24;17;19;13;10;10;14;15;14;15;20;16;9;9;9;11;7;25;12;6;6;10;11;5;12;26;17;9;17;10;7;3;6;3;4;3;7;5;4;6;4;3;-;-;-;-;3;9;6;1;3;3;2;-;4;1;1;3;2;7;8;3;13;12;6;7;6;4;5;3;1;6;8;6;12;4;-;-;-;1;7;8;7;3;9;6;5;-;2;11;8;4;1;-;-;1144
"130002 Alvarães";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;-;-;-;-;1;-;1;-;1;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;-;1;2;2;1;-;1;1;2;3;3;-;1;-;-;-;2;-;7;3;1;1;2;-;-;1;-;2;1;-;4;-;1;5;-;3;2;1;2;-;1;3;-;-;-;-;1;1;-;-;-;-;-;-;1;-;1;1;-;1;1;3;-;1;-;-;-;-;-;-;1;1;-;3;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;105
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;13;16;10;2;-;7;-;6;7;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;2;-;-;-;-;-;-;-;-;-;-;-;5;-;1;1;1;-;-;-;4;1;3;5;5;3;1;1;-;2;4;6;2;2;1;6;1;1;3;1;-;2;5;1;-;1;-;-;-;156
